# wavelength, intensity
5.160251731268731419e+02 9.075354351540355913e-02
5.165373721278721177e+02 9.262791328839303784e-02
5.170495711288710936e+02 9.226866579570267013e-02
5.175617701298701832e+02 9.363710346667379614e-02
5.180739691308691590e+02 9.357008715664548448e-02
5.185861681318681349e+02 9.657728587027399059e-02
5.190983671328671107e+02 9.763432954089347471e-02
5.196105661338662003e+02 9.611025273321825713e-02
5.201227651348651762e+02 9.762989777204962583e-02
5.206349641358641520e+02 9.868252853998454865e-02
5.211471631368631279e+02 1.013665826239104895e-01
5.216593621378622174e+02 1.020319064639892970e-01
5.221715611388611933e+02 1.038093147622786150e-01
5.226837601398601691e+02 1.058952593721488450e-01
5.231959591408591450e+02 1.079304247843171222e-01
5.237081581418581209e+02 1.080317109965606426e-01
5.242203571428572104e+02 1.084782581669382212e-01
5.247325561438561863e+02 1.117683850572853826e-01
5.252447551448551621e+02 1.121181225055813135e-01
5.257569541458541380e+02 1.170800460579686370e-01
5.262691531468531139e+02 1.176338830543486175e-01
5.267813521478522034e+02 1.193602887193501993e-01
5.272935511488511793e+02 1.219802736888989936e-01
5.278057501498501551e+02 1.246093721952395705e-01
5.283179491508491310e+02 1.253600445553011145e-01
5.288301481518481069e+02 1.272168571041952523e-01
5.293423471528471964e+02 1.294387677724232188e-01
5.298545461538461723e+02 1.314417232821389614e-01
5.303667451548451481e+02 1.323961297650064206e-01
5.308789441558441240e+02 1.331340852457259805e-01
5.313911431568432135e+02 1.345371486243389647e-01
5.319033421578421894e+02 1.390484044483798476e-01
5.324155411588411653e+02 1.394444479093780442e-01
5.329277401598401411e+02 1.393573681336529313e-01
5.334399391608392307e+02 1.401968302463436900e-01
5.339521381618382065e+02 1.410794345384884241e-01
5.344643371628371824e+02 1.445040519903482978e-01
5.349765361638361583e+02 1.443445110376712359e-01
5.354887351648351341e+02 1.445884055431223558e-01
5.360009341658342237e+02 1.475892808707353066e-01
5.365131331668331995e+02 1.471267353028880287e-01
5.370253321678321754e+02 1.490960709858562272e-01
5.375375311688311513e+02 1.506907235607109208e-01
5.380497301698301271e+02 1.525439768623418901e-01
5.385619291708292167e+02 1.553626682217025545e-01
5.390741281718281925e+02 1.566231032760639075e-01
5.395863271728271684e+02 1.548675544228634571e-01
5.400985261738261443e+02 1.555545960115629900e-01
5.406107251748252338e+02 1.582718876853349554e-01
5.411229241758242097e+02 1.606040976880705462e-01
5.416351231768231855e+02 1.607333630644231792e-01
5.421473221778221614e+02 1.632143258355090443e-01
5.426595211788212509e+02 1.645832554474734311e-01
5.431717201798202268e+02 1.679284378216249485e-01
5.436839191808192027e+02 1.689046426162140457e-01
5.441961181818181785e+02 1.737275411426330296e-01
5.447083171828171544e+02 1.744367895795467249e-01
5.452205161838162439e+02 1.764454816882234101e-01
5.457327151848152198e+02 1.808883738124356655e-01
5.462449141858141957e+02 1.815379502283170909e-01
5.467571131868131715e+02 1.832322048631656042e-01
5.472693121878121474e+02 1.873404147725396818e-01
5.477815111888112369e+02 1.902998067281619354e-01
5.482937101898102128e+02 1.923430115844455834e-01
5.488059091908091887e+02 1.954613961222680663e-01
5.493181081918081645e+02 1.988437058314750927e-01
5.498303071928072541e+02 2.029111571943803538e-01
5.503425061938062299e+02 2.018568745480557591e-01
5.508547051948052058e+02 2.056025275618679204e-01
5.513669041958041817e+02 2.093282179796837339e-01
5.518791031968032712e+02 2.127144145161732336e-01
5.523913021978022471e+02 2.157644257644108499e-01
